,UpEqualizationTier
2021,18362.01712
2022,18492.595
2023,18755.8678
2024,18888.6103
2025,19022.0902
2026,19291.2622
2027,19436.5
2028,19612.7
2029,19792.09
2030,19971.39
2031,20122.59
2032,20277.49
2033,20436.09
2034,20598.39
2035,20764.39
2036,20934.09
2037,21107.49
2038,21284.59
2039,21489.39
2040,21692.39
2041,21886.59
2042,22075.29
2043,22258.49
2044,22436.19
2045,22608.39
2046,22775.09
2047,22936.29
2048,23091.99
2049,23250.19
2050,23393.29
2051,23497.29
2052,23591.69
2053,23676.49
2054,23751.69
2055,23817.29
2056,23873.29
2057,23919.69
2058,23956.49
2059,23983.69
2060,24001.29
