Date,LBMOtherDemand
21-Jan,10771
21-Feb,18231
21-Mar,30271
21-Apr,46889
21-May,81287
21-Jun,113845
21-Jul,132980
21-Aug,118447
21-Sep,86473
21-Oct,57734
21-Nov,31495
21-Dec,16916
22-Jan,11161
22-Feb,19011
22-Mar,31441
22-Apr,48189
22-May,82717
22-Jun,115405
22-Jul,134540
22-Aug,119877
22-Sep,87773
22-Oct,58644
22-Nov,32275
22-Dec,17306
23-Jan,10171
23-Feb,17031
23-Mar,28471
23-Apr,44889
23-May,79087
23-Jun,111445
23-Jul,130580
23-Aug,116247
23-Sep,84473
23-Oct,56334
23-Nov,30295
23-Dec,16316
24-Jan,10171
24-Feb,17031
24-Mar,28471
24-Apr,44889
24-May,79087
24-Jun,111445
24-Jul,130580
24-Aug,116247
24-Sep,84473
24-Oct,56334
24-Nov,30295
24-Dec,16316
25-Jan,9151
25-Feb,14991
25-Mar,25411
25-Apr,41489
25-May,75347
25-Jun,107365
25-Jul,126500
25-Aug,112507
25-Sep,81073
25-Oct,53954
25-Nov,28255
25-Dec,15296
26-Jan,9151
26-Feb,14991
26-Mar,25411
26-Apr,41489
26-May,75347
26-Jun,107365
26-Jul,126500
26-Aug,112507
26-Sep,81073
26-Oct,53954
26-Nov,28255
26-Dec,15296
27-Jan,9151
27-Feb,14991
27-Mar,25411
27-Apr,41489
27-May,75347
27-Jun,107365
27-Jul,126500
27-Aug,112507
27-Sep,81073
27-Oct,53954
27-Nov,28255
27-Dec,15296
28-Jan,9151
28-Feb,14991
28-Mar,25411
28-Apr,41489
28-May,75347
28-Jun,107365
28-Jul,126500
28-Aug,112507
28-Sep,81073
28-Oct,53954
28-Nov,28255
28-Dec,15296
29-Jan,9151
29-Feb,14991
29-Mar,25411
29-Apr,41489
29-May,75347
29-Jun,107365
29-Jul,126500
29-Aug,112507
29-Sep,81073
29-Oct,53954
29-Nov,28255
29-Dec,15296
30-Jan,9151
Feb-30,14991
30-Mar,25411
30-Apr,41489
30-May,75347
30-Jun,107365
30-Jul,126500
30-Aug,112507
30-Sep,81073
30-Oct,53954
30-Nov,28255
30-Dec,15296
31-Jan,9151
Feb-31,14991
31-Mar,25411
Apr-31,41489
31-May,75347
Jun-31,107365
31-Jul,126500
31-Aug,112507
Sep-31,81073
31-Oct,53954
Nov-31,28255
31-Dec,15296
Jan-32,9151
Feb-32,14991
Mar-32,25411
Apr-32,41489
May-32,75347
Jun-32,107365
Jul-32,126500
Aug-32,112507
Sep-32,81073
Oct-32,53954
Nov-32,28255
Dec-32,15296
Jan-33,9151
Feb-33,14991
Mar-33,25411
Apr-33,41489
May-33,75347
Jun-33,107365
Jul-33,126500
Aug-33,112507
Sep-33,81073
Oct-33,53954
Nov-33,28255
Dec-33,15296
Jan-34,9151
Feb-34,14991
Mar-34,25411
Apr-34,41489
May-34,75347
Jun-34,107365
Jul-34,126500
Aug-34,112507
Sep-34,81073
Oct-34,53954
Nov-34,28255
Dec-34,15296
Jan-35,9151
Feb-35,14991
Mar-35,25411
Apr-35,41489
May-35,75347
Jun-35,107365
Jul-35,126500
Aug-35,112507
Sep-35,81073
Oct-35,53954
Nov-35,28255
Dec-35,15296
Jan-36,9151
Feb-36,14991
Mar-36,25411
Apr-36,41489
May-36,75347
Jun-36,107365
Jul-36,126500
Aug-36,112507
Sep-36,81073
Oct-36,53954
Nov-36,28255
Dec-36,15296
Jan-37,9151
Feb-37,14991
Mar-37,25411
Apr-37,41489
May-37,75347
Jun-37,107365
Jul-37,126500
Aug-37,112507
Sep-37,81073
Oct-37,53954
Nov-37,28255
Dec-37,15296
Jan-38,9151
Feb-38,14991
Mar-38,25411
Apr-38,41489
May-38,75347
Jun-38,107365
Jul-38,126500
Aug-38,112507
Sep-38,81073
Oct-38,53954
Nov-38,28255
Dec-38,15296
Jan-39,9151
Feb-39,14991
Mar-39,25411
Apr-39,41489
May-39,75347
Jun-39,107365
Jul-39,126500
Aug-39,112507
Sep-39,81073
Oct-39,53954
Nov-39,28255
Dec-39,15296
Jan-40,9151
Feb-40,14991
Mar-40,25411
Apr-40,41489
May-40,75347
Jun-40,107365
Jul-40,126500
Aug-40,112507
Sep-40,81073
Oct-40,53954
Nov-40,28255
Dec-40,15296
Jan-41,9151
Feb-41,14991
Mar-41,25411
Apr-41,41489
May-41,75347
Jun-41,107365
Jul-41,126500
Aug-41,112507
Sep-41,81073
Oct-41,53954
Nov-41,28255
Dec-41,15296
Jan-42,9151
Feb-42,14991
Mar-42,25411
Apr-42,41489
May-42,75347
Jun-42,107365
Jul-42,126500
Aug-42,112507
Sep-42,81073
Oct-42,53954
Nov-42,28255
Dec-42,15296
Jan-43,9151
Feb-43,14991
Mar-43,25411
Apr-43,41489
May-43,75347
Jun-43,107365
Jul-43,126500
Aug-43,112507
Sep-43,81073
Oct-43,53954
Nov-43,28255
Dec-43,15296
Jan-44,9151
Feb-44,14991
Mar-44,25411
Apr-44,41489
May-44,75347
Jun-44,107365
Jul-44,126500
Aug-44,112507
Sep-44,81073
Oct-44,53954
Nov-44,28255
Dec-44,15296
Jan-45,9151
Feb-45,14991
Mar-45,25411
Apr-45,41489
May-45,75347
Jun-45,107365
Jul-45,126500
Aug-45,112507
Sep-45,81073
Oct-45,53954
Nov-45,28255
Dec-45,15296
Jan-46,9151
Feb-46,14991
Mar-46,25411
Apr-46,41489
May-46,75347
Jun-46,107365
Jul-46,126500
Aug-46,112507
Sep-46,81073
Oct-46,53954
Nov-46,28255
Dec-46,15296
Jan-47,9151
Feb-47,14991
Mar-47,25411
Apr-47,41489
May-47,75347
Jun-47,107365
Jul-47,126500
Aug-47,112507
Sep-47,81073
Oct-47,53954
Nov-47,28255
Dec-47,15296
Jan-48,9151
Feb-48,14991
Mar-48,25411
Apr-48,41489
May-48,75347
Jun-48,107365
Jul-48,126500
Aug-48,112507
Sep-48,81073
Oct-48,53954
Nov-48,28255
Dec-48,15296
Jan-49,9151
Feb-49,14991
Mar-49,25411
Apr-49,41489
May-49,75347
Jun-49,107365
Jul-49,126500
Aug-49,112507
Sep-49,81073
Oct-49,53954
Nov-49,28255
Dec-49,15296
Jan-50,9151
Feb-50,14991
Mar-50,25411
Apr-50,41489
May-50,75347
Jun-50,107365
Jul-50,126500
Aug-50,112507
Sep-50,81073
Oct-50,53954
Nov-50,28255
Dec-50,15296
Jan-51,9151
Feb-51,14991
Mar-51,25411
Apr-51,41489
May-51,75347
Jun-51,107365
Jul-51,126500
Aug-51,112507
Sep-51,81073
Oct-51,53954
Nov-51,28255
Dec-51,15296
Jan-52,9151
Feb-52,14991
Mar-52,25411
Apr-52,41489
May-52,75347
Jun-52,107365
Jul-52,126500
Aug-52,112507
Sep-52,81073
Oct-52,53954
Nov-52,28255
Dec-52,15296
Jan-53,9151
Feb-53,14991
Mar-53,25411
Apr-53,41489
May-53,75347
Jun-53,107365
Jul-53,126500
Aug-53,112507
Sep-53,81073
Oct-53,53954
Nov-53,28255
Dec-53,15296
Jan-54,9151
Feb-54,14991
Mar-54,25411
Apr-54,41489
May-54,75347
Jun-54,107365
Jul-54,126500
Aug-54,112507
Sep-54,81073
Oct-54,53954
Nov-54,28255
Dec-54,15296
Jan-55,9151
Feb-55,14991
Mar-55,25411
Apr-55,41489
May-55,75347
Jun-55,107365
Jul-55,126500
Aug-55,112507
Sep-55,81073
Oct-55,53954
Nov-55,28255
Dec-55,15296
Jan-56,9151
Feb-56,14991
Mar-56,25411
Apr-56,41489
May-56,75347
Jun-56,107365
Jul-56,126500
Aug-56,112507
Sep-56,81073
Oct-56,53954
Nov-56,28255
Dec-56,15296
Jan-57,9151
Feb-57,14991
Mar-57,25411
Apr-57,41489
May-57,75347
Jun-57,107365
Jul-57,126500
Aug-57,112507
Sep-57,81073
Oct-57,53954
Nov-57,28255
Dec-57,15296
Jan-58,9151
Feb-58,14991
Mar-58,25411
Apr-58,41489
May-58,75347
Jun-58,107365
Jul-58,126500
Aug-58,112507
Sep-58,81073
Oct-58,53954
Nov-58,28255
Dec-58,15296
Jan-59,9151
Feb-59,14991
Mar-59,25411
Apr-59,41489
May-59,75347
Jun-59,107365
Jul-59,126500
Aug-59,112507
Sep-59,81073
Oct-59,53954
Nov-59,28255
Dec-59,15296
Jan-60,9151
Feb-60,14991
Mar-60,25411
Apr-60,41489
May-60,75347
Jun-60,107365
Jul-60,126500
Aug-60,112507
Sep-60,81073
Oct-60,53954
Nov-60,28255
Dec-60,15296
