Month,GrossEvapCoefficient,RiverEvapCoefficient,StreamsideCoefficient,AverageAirTemperature,TerraceCoefficient,AveragePrecipitation
JAN,0.173333333,0.173333333,0.006341667,37,0.005191667,0.055
FEB,0.176666667,0.176666667,0.0063,42,0.00515,0.045833333
MAR,0.271666667,0.271666667,0.007641667,50,0.00625,0.0525
APR,0.375,0.375,0.008125,59,0.00665,0.034166667
MAY,0.44,0.44,0.009025,69,0.007383333,0.030833333
JUN,0.63,0.63,0.009066667,80,0.007416667,0.0175
JUL,0.768333333,0.768333333,0.009208333,86,0.007533333,0.044166667
AUG,0.765,0.765,0.008616667,83,0.007083333,0.049166667
SEP,0.715,0.715,0.007675,74,0.006908333,0.060833333
OCT,0.531666667,0.531666667,0.007175,61,0.006458333,0.076666667
NOV,0.491666667,0.491666667,0.006308333,47,0.005675,0.064166667
DEC,0.3825,0.3825,0.006133333,37,0.005175,0.040833333
