,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
Jan,660000,720000,760000,860000,920000,1040000,1100000,1230000,1350000,1470000
Feb,590000,640000,680000,750000,810000,920000,970000,1080000,1190000,1300000
Mar,620000,675000,710000,800000,860000,970000,1030000,1150000,1260000,1370000
Apr,550000,600000,640000,710000,760000,870000,920000,1020000,1120000,1220000
May,550000,600000,630000,710000,760000,860000,910000,1020000,1120000,1220000
Jun,580000,630000,660000,750000,800000,910000,960000,1060000,1170000,1280000
Jul,650000,710000,750000,850000,900000,1020000,1080000,1200000,1320000,1440000
Aug,700000,760000,800000,900000,970000,1090000,1160000,1280000,1410000,1540000
Sep,520000,565000,600000,670000,720000,820000,870000,960000,1060000,1160000
Oct,480000,480000,640000,640000,640000,640000,640000,640000,640000,640000
Nov,500000,500000,640000,640000,640000,640000,640000,640000,640000,640000
Dec,600000,600000,720000,720000,720000,720000,720000,720000,720000,720000
