,ShiftedEQLine
2021,15885.31
2022,16003.07
2023,16240.46
2024,16360.12
2025,16480.42
2026,16722.95
2027,16853.78
2028,17012.46
2029,17173.98
2030,17335.38
2031,17471.46
2032,17610.84
2033,17753.52
2034,17899.51
2035,18048.8
2036,18201.38
2037,18357.26
2038,18516.45
2039,18700.58
2040,18883.2
2041,19058.01
2042,19227.95
2043,19393.03
2044,19553.23
2045,19708.54
2046,19858.96
2047,20004.48
2048,20145.09
2049,20288.01
2050,20417.34
2051,20511.36
2052,20596.72
2053,20673.41
2054,20741.44
2055,20800.79
2056,20851.46
2057,20893.45
2058,20926.76
2059,20951.38
2060,20967.31
