,MonthSurplusRelease
1/2021,628366.65
2/2021,743626.64
3/2021,799183.3
4/2021,845683.3
5/2021,676133.3
6/2021,688633.3
7/2021,693133.3
8/2021,688633.3
9/2021,624429.97
10/2021,680126.64
11/2021,594366.65
12/2021,593016.65
1/2022,628116.65
2/2022,743226.64
3/2022,798683.3
4/2022,845183.3
5/2022,675633.3
6/2022,688133.3
7/2022,692633.3
8/2022,688133.3
9/2022,623979.97
10/2022,679726.64
11/2022,594116.65
12/2022,592766.65
1/2023,627866.65
2/2023,742826.64
3/2023,798183.3
4/2023,844683.3
5/2023,675133.3
6/2023,687633.3
7/2023,692133.3
8/2023,687633.3
9/2023,623529.97
10/2023,679326.64
11/2023,593866.65
12/2023,592516.65
1/2024,627616.65
2/2024,742426.64
3/2024,797683.3
4/2024,844183.3
5/2024,674633.3
6/2024,687133.3
7/2024,691633.3
8/2024,687133.3
9/2024,623079.97
10/2024,678926.64
11/2024,593616.65
12/2024,592266.65
1/2025,627366.65
2/2025,742026.64
3/2025,797183.3
4/2025,843683.3
5/2025,674133.3
6/2025,686633.3
7/2025,691133.3
8/2025,686633.3
9/2025,622629.97
10/2025,678526.64
11/2025,593366.65
12/2025,592016.65
1/2026,627116.65
2/2026,741626.64
3/2026,796683.3
4/2026,843183.3
5/2026,673633.3
6/2026,686133.3
7/2026,690633.3
8/2026,686133.3
9/2026,622179.97
10/2026,678126.64
11/2026,593116.65
12/2026,591766.65
1/2027,627116.65
2/2027,741626.64
3/2027,796683.3
4/2027,843183.3
5/2027,673633.3
6/2027,686133.3
7/2027,690633.3
8/2027,686133.3
9/2027,622179.97
10/2027,678126.64
11/2027,593116.65
12/2027,591766.65
1/2028,627116.65
2/2028,741626.64
3/2028,796683.3
4/2028,843183.3
5/2028,673633.3
6/2028,686133.3
7/2028,690633.3
8/2028,686133.3
9/2028,622179.97
10/2028,678126.64
11/2028,593116.65
12/2028,591766.65
1/2029,627116.65
2/2029,741626.64
3/2029,796683.3
4/2029,843183.3
5/2029,673633.3
6/2029,686133.3
7/2029,690633.3
8/2029,686133.3
9/2029,622179.97
10/2029,678126.64
11/2029,593116.65
12/2029,591766.65
1/2030,627116.65
2/2030,741626.64
3/2030,796683.3
4/2030,843183.3
5/2030,673633.3
6/2030,686133.3
7/2030,690633.3
8/2030,686133.3
9/2030,622179.97
10/2030,678126.64
11/2030,593116.65
12/2030,591766.65
1/2031,627116.65
2/2031,741626.64
3/2031,796683.3
4/2031,843183.3
5/2031,673633.3
6/2031,686133.3
7/2031,690633.3
8/2031,686133.3
9/2031,622179.97
10/2031,678126.64
11/2031,593116.65
12/2031,591766.65
1/2032,627116.65
2/2032,741626.64
3/2032,796683.3
4/2032,843183.3
5/2032,673633.3
6/2032,686133.3
7/2032,690633.3
8/2032,686133.3
9/2032,622179.97
10/2032,678126.64
11/2032,593116.65
12/2032,591766.65
1/2033,627116.65
2/2033,741626.64
3/2033,796683.3
4/2033,843183.3
5/2033,673633.3
6/2033,686133.3
7/2033,690633.3
8/2033,686133.3
9/2033,622179.97
10/2033,678126.64
11/2033,593116.65
12/2033,591766.65
1/2034,627116.65
2/2034,741626.64
3/2034,796683.3
4/2034,843183.3
5/2034,673633.3
6/2034,686133.3
7/2034,690633.3
8/2034,686133.3
9/2034,622179.97
10/2034,678126.64
11/2034,593116.65
12/2034,591766.65
1/2035,627116.65
2/2035,741626.64
3/2035,796683.3
4/2035,843183.3
5/2035,673633.3
6/2035,686133.3
7/2035,690633.3
8/2035,686133.3
9/2035,622179.97
10/2035,678126.64
11/2035,593116.65
12/2035,591766.65
1/2036,627116.65
2/2036,741626.64
3/2036,796683.3
4/2036,843183.3
5/2036,673633.3
6/2036,686133.3
7/2036,690633.3
8/2036,686133.3
9/2036,622179.97
10/2036,678126.64
11/2036,593116.65
12/2036,591766.65
1/2037,627116.65
2/2037,741626.64
3/2037,796683.3
4/2037,843183.3
5/2037,673633.3
6/2037,686133.3
7/2037,690633.3
8/2037,686133.3
9/2037,622179.97
10/2037,678126.64
11/2037,593116.65
12/2037,591766.65
1/2038,627116.65
2/2038,741626.64
3/2038,796683.3
4/2038,843183.3
5/2038,673633.3
6/2038,686133.3
7/2038,690633.3
8/2038,686133.3
9/2038,622179.97
10/2038,678126.64
11/2038,593116.65
12/2038,591766.65
1/2039,627116.65
2/2039,741626.64
3/2039,796683.3
4/2039,843183.3
5/2039,673633.3
6/2039,686133.3
7/2039,690633.3
8/2039,686133.3
9/2039,622179.97
10/2039,678126.64
11/2039,593116.65
12/2039,591766.65
1/2040,627116.65
2/2040,741626.64
3/2040,796683.3
4/2040,843183.3
5/2040,673633.3
6/2040,686133.3
7/2040,690633.3
8/2040,686133.3
9/2040,622179.97
10/2040,678126.64
11/2040,593116.65
12/2040,591766.65
1/2041,627116.65
2/2041,741626.64
3/2041,796683.3
4/2041,843183.3
5/2041,673633.3
6/2041,686133.3
7/2041,690633.3
8/2041,686133.3
9/2041,622179.97
10/2041,678126.64
11/2041,593116.65
12/2041,591766.65
1/2042,627116.65
2/2042,741626.64
3/2042,796683.3
4/2042,843183.3
5/2042,673633.3
6/2042,686133.3
7/2042,690633.3
8/2042,686133.3
9/2042,622179.97
10/2042,678126.64
11/2042,593116.65
12/2042,591766.65
1/2043,627116.65
2/2043,741626.64
3/2043,796683.3
4/2043,843183.3
5/2043,673633.3
6/2043,686133.3
7/2043,690633.3
8/2043,686133.3
9/2043,622179.97
10/2043,678126.64
11/2043,593116.65
12/2043,591766.65
1/2044,627116.65
2/2044,741626.64
3/2044,796683.3
4/2044,843183.3
5/2044,673633.3
6/2044,686133.3
7/2044,690633.3
8/2044,686133.3
9/2044,622179.97
10/2044,678126.64
11/2044,593116.65
12/2044,591766.65
1/2045,627116.65
2/2045,741626.64
3/2045,796683.3
4/2045,843183.3
5/2045,673633.3
6/2045,686133.3
7/2045,690633.3
8/2045,686133.3
9/2045,622179.97
10/2045,678126.64
11/2045,593116.65
12/2045,591766.65
1/2046,629616.65
2/2046,745626.64
3/2046,801683.3
4/2046,848183.3
5/2046,678633.3
6/2046,691133.3
7/2046,695633.3
8/2046,691133.3
9/2046,626679.97
10/2046,682126.64
11/2046,595616.65
12/2046,594266.65
1/2047,629616.65
2/2047,745626.64
3/2047,801683.3
4/2047,848183.3
5/2047,678633.3
6/2047,691133.3
7/2047,695633.3
8/2047,691133.3
9/2047,626679.97
10/2047,682126.64
11/2047,595616.65
12/2047,594266.65
1/2048,629616.65
2/2048,745626.64
3/2048,801683.3
4/2048,848183.3
5/2048,678633.3
6/2048,691133.3
7/2048,695633.3
8/2048,691133.3
9/2048,626679.97
10/2048,682126.64
11/2048,595616.65
12/2048,594266.65
1/2049,629616.65
2/2049,745626.64
3/2049,801683.3
4/2049,848183.3
5/2049,678633.3
6/2049,691133.3
7/2049,695633.3
8/2049,691133.3
9/2049,626679.97
10/2049,682126.64
11/2049,595616.65
12/2049,594266.65
1/2050,629616.65
2/2050,745626.64
3/2050,801683.3
4/2050,848183.3
5/2050,678633.3
6/2050,691133.3
7/2050,695633.3
8/2050,691133.3
9/2050,626679.97
10/2050,682126.64
11/2050,595616.65
12/2050,594266.65
1/2051,629616.65
2/2051,745626.64
3/2051,801683.3
4/2051,848183.3
5/2051,678633.3
6/2051,691133.3
7/2051,695633.3
8/2051,691133.3
9/2051,626679.97
10/2051,682126.64
11/2051,595616.65
12/2051,594266.65
1/2052,629616.65
2/2052,745626.64
3/2052,801683.3
4/2052,848183.3
5/2052,678633.3
6/2052,691133.3
7/2052,695633.3
8/2052,691133.3
9/2052,626679.97
10/2052,682126.64
11/2052,595616.65
12/2052,594266.65
1/2053,629616.65
2/2053,745626.64
3/2053,801683.3
4/2053,848183.3
5/2053,678633.3
6/2053,691133.3
7/2053,695633.3
8/2053,691133.3
9/2053,626679.97
10/2053,682126.64
11/2053,595616.65
12/2053,594266.65
1/2054,629616.65
2/2054,745626.64
3/2054,801683.3
4/2054,848183.3
5/2054,678633.3
6/2054,691133.3
7/2054,695633.3
8/2054,691133.3
9/2054,626679.97
10/2054,682126.64
11/2054,595616.65
12/2054,594266.65
1/2055,629616.65
2/2055,745626.64
3/2055,801683.3
4/2055,848183.3
5/2055,678633.3
6/2055,691133.3
7/2055,695633.3
8/2055,691133.3
9/2055,626679.97
10/2055,682126.64
11/2055,595616.65
12/2055,594266.65
1/2056,629616.65
2/2056,745626.64
3/2056,801683.3
4/2056,848183.3
5/2056,678633.3
6/2056,691133.3
7/2056,695633.3
8/2056,691133.3
9/2056,626679.97
10/2056,682126.64
11/2056,595616.65
12/2056,594266.65
1/2057,629616.65
2/2057,745626.64
3/2057,801683.3
4/2057,848183.3
5/2057,678633.3
6/2057,691133.3
7/2057,695633.3
8/2057,691133.3
9/2057,626679.97
10/2057,682126.64
11/2057,595616.65
12/2057,594266.65
1/2058,629616.65
2/2058,745626.64
3/2058,801683.3
4/2058,848183.3
5/2058,678633.3
6/2058,691133.3
7/2058,695633.3
8/2058,691133.3
9/2058,626679.97
10/2058,682126.64
11/2058,595616.65
12/2058,594266.65
1/2059,629616.65
2/2059,745626.64
3/2059,801683.3
4/2059,848183.3
5/2059,678633.3
6/2059,691133.3
7/2059,695633.3
8/2059,691133.3
9/2059,626679.97
10/2059,682126.64
11/2059,595616.65
12/2059,594266.65
1/2060,629616.65
2/2060,745626.64
3/2060,801683.3
4/2060,848183.3
5/2060,678633.3
6/2060,691133.3
7/2060,695633.3
8/2060,691133.3
9/2060,626679.97
10/2060,682126.64
11/2060,595616.65
12/2060,594266.65
