storage,inflow_demand
11,4.98
11.1,4.88
11.2,4.77
11.3,4.67
11.4,4.56
11.5,4.46
11.6,4.35
11.7,4.25
11.8,4.14
11.9,4.04
12,3.93
12.1,3.83
12.2,3.72
12.3,3.61
12.4,3.51
12.5,3.4
12.6,3.3
12.7,3.2
12.8,3.09
12.9,2.99
13,2.88
13.1,2.77
13.2,2.67
13.3,2.56
13.4,2.46
13.5,2.35
13.6,2.25
13.7,2.14
13.8,2.04
13.9,1.93
14,1.83
14.1,1.72
14.2,1.62
14.3,1.51
14.4,1.41
14.5,1.3
14.6,1.2
14.7,1.09
14.8,0.99
14.9,0.88
15,0.78
15.1,0.67
15.2,0.57
15.3,0.46
15.4,0.36
15.5,0.25
15.6,0.15
15.7,0.04
15.8,-0.06
15.9,-0.17
16,-0.27
16.1,-0.38
16.2,-0.48
16.3,-0.59
16.4,-0.69
16.5,-0.8
16.6,-0.9
16.7,-1.01
16.8,-1.11
16.9,-1.22
17,-1.32
17.1,-1.42
17.2,-1.53
17.3,-1.63
17.4,-1.74
17.5,-1.84
17.6,-1.95
17.7,-2.05
17.8,-2.16
17.9,-2.26
18,-2.37
18.1,-2.47
18.2,-2.58
18.3,-2.68
18.4,-2.79
18.5,-2.89
18.6,-3
18.7,-3.1
18.8,-3.21
18.9,-3.31
19,-3.42
19.1,-3.52
19.2,-3.63
19.3,-3.73
19.4,-3.84
19.5,-3.94
19.6,-4.04
19.7,-4.15
19.8,-4.25
19.9,-4.36
20,-4.46
20.1,-4.57
20.2,-4.67
20.3,-4.78
20.4,-4.88
20.5,-4.99
20.6,-5.09
20.7,-5.2
20.8,-5.3
20.9,-5.41
21,-5.51
21.1,-5.62
21.2,-5.72
21.3,-5.83
21.4,-5.93
